"","id","group","allele_count","anc_prop"
"166","AC-Z","non-transloc",100000,1
"167","AC-ZB","non-transloc",100000,1
"168","ACA-Z","non-transloc",100000,1
"169","ACZ-","non-transloc",100000,1
"170","AG-Z","non-transloc",100000,1
"171","AGP-Z","ANF",50000,0.5
"172","AGP-Z","non-transloc",50000,0.5
"173","AHA-Z","ANF",37585,0.37585
"174","AHA-Z","FTB",25140,0.2514
"175","AHA-Z","non-transloc",37275,0.37275
"176","AHG-Z","ANF",24992,0.24992
"177","AHG-Z","non-transloc",75008,0.75008
"178","AHO-Z","non-transloc",100000,1
"179","AHW-Z","ANF",50000,0.5
"180","AHW-Z","non-transloc",50000,0.5
"181","AKB-Z","non-transloc",100000,1
"182","AKP-Z","non-transloc",100000,1
"183","AL-Z","non-transloc",100000,1
"184","AL-ZA","non-transloc",100000,1
"185","ALG-Z","non-transloc",100000,1
"186","ALL-Z","non-transloc",100000,1
"187","ALO-Z","ANF",25050,0.2505
"188","ALO-Z","non-transloc",74950,0.7495
"189","AO-Z","ANF",50000,0.5
"190","AO-Z","non-transloc",50000,0.5
"191","AO-ZP","non-transloc",100000,1
"192","AOK-Z","ANF",74755,0.74755
"193","AOK-Z","non-transloc",25245,0.25245
"194","AOW-Z","ANF",24910,0.2491
"195","AOW-Z","non-transloc",75090,0.7509
"196","AP-Z","ANF",74910,0.7491
"197","AP-Z","non-transloc",25090,0.2509
"198","APH-Z","ANF",50000,0.5
"199","APH-Z","non-transloc",50000,0.5
"200","APL-Z","ANF",24812,0.24812
"201","APL-Z","non-transloc",75188,0.75188
"202","ASL-Z","FTB",24848,0.24848
"203","ASL-Z","non-transloc",75152,0.75152
"204","AW-Z","non-transloc",100000,1
"205","AWA-Z","ANF",74768,0.74768
"206","AWA-Z","non-transloc",25232,0.25232
"207","AWG-Z","ANF",25025,0.25025
"208","AWG-Z","non-transloc",74975,0.74975
"209","AWL-Z","non-transloc",100000,1
"210","AY-Z","non-transloc",100000,1
"211","AY-ZP","non-transloc",100000,1
"212","AYH-Z","ANF",50000,0.5
"213","AYH-Z","non-transloc",50000,0.5
"214","AZ-B","non-transloc",100000,1
"215","AZ-GBO","non-transloc",100000,1
"216","AZ-L","non-transloc",100000,1
"217","AZ-W","non-transloc",100000,1
"218","AZ-Y","non-transloc",100000,1
"219","AZ-YL","non-transloc",100000,1
"220","B-Z","non-transloc",100000,1
"221","B-ZY","ANF",50000,0.5
"222","B-ZY","non-transloc",50000,0.5
"223","BA-CZ","non-transloc",100000,1
"224","BA-Z","non-transloc",100000,1
"225","BA-ZC","non-transloc",100000,1
"226","BA-ZL","non-transloc",100000,1
"227","BAB-Z","ANF",12709,0.12709
"228","BAB-Z","non-transloc",87291,0.87291
"229","BAC-Z","ANF",62535,0.62535
"230","BAC-Z","non-transloc",37465,0.37465
"231","BAG-Z","ANF",6342,0.06342
"232","BAG-Z","FTS",50000,0.5
"233","BAG-Z","non-transloc",43658,0.43658
"234","BAO-Z","ANF",6297,0.06297
"235","BAO-Z","non-transloc",93703,0.93703
"236","BAW-Z","ANF",50000,0.5
"237","BAW-Z","CBJTC",25158,0.25158
"238","BAW-Z","non-transloc",24842,0.24842
"239","BAY-Z","ANF",75128,0.75128
"240","BAY-Z","non-transloc",24872,0.24872
"241","BB-Z","non-transloc",100000,1
"242","BB-ZB","non-transloc",100000,1
"243","BBA-Z","ANF",37373,0.37373
"244","BBA-Z","non-transloc",62627,0.62627
"245","BC-ZC","non-transloc",100000,1
"246","BC-ZY","non-transloc",100000,1
"247","BCA-Z","ANF",25087,0.25087
