"","founder_id","year","part_found_f_sum","group","pop_size","pfound_fsum_prop","pfound_fsum_scale","val_cumsum"
"70","ZA-WP",2019,0.01176,"non-transloc",146,0.00350490269126457,8.05479452054795e-05,0.000232054794520548
"71","ZA-WW",2019,0.01176,"non-transloc",146,0.00350490269126457,8.05479452054795e-05,0.000312602739726027
"72","ZB-YO",2013,0.00812,"non-transloc",98,0.00873569153971943,8.28571428571429e-05,0.000121632653061225
"73","ZC-BG",2019,0.01222,"non-transloc",146,0.00364199922510655,8.36986301369863e-05,0.00039472602739726
"74","ZC-BL",2021,0.01444,"non-transloc",172,0.0036873984943974,8.3953488372093e-05,0.000476395348837209
"75","ZP-GA",2016,0.01138,"non-transloc",117,0.00541085404007265,9.72649572649573e-05,0.000615811965811966
"76","ZC-LG",2018,0.01478,"non-transloc",137,0.00452103904366871,0.000107883211678832,0.000428978102189781
"77","ZY-GO",2022,0.01834,"non-transloc",167,0.00489489585668684,0.000109820359281437,0.00039251497005988
"78","ZC-LG",2017,0.015,"non-transloc",128,0.00570038762635859,0.0001171875,0.00024125
"79","ZW-CO",2017,0.01502,"non-transloc",128,0.00570798814319374,0.00011734375,0.000358515625
"80","ZC-BL",2022,0.01992,"non-transloc",167,0.00531659353681581,0.000119281437125749,0.000507065868263473
"81","ZP-GC",2017,0.01616,"non-transloc",128,0.00614121760279699,0.00012625,0.0004803125
"82","OHA-ZK",2017,0.01634,"ANF",128,0.00620962225431329,0.00012765625,0.000607265625
"83","ZG-WC",2016,0.01548,"non-transloc",117,0.00736028300002853,0.000132307692307692,0.000730598290598291
"84","ZB-CA",2011,0.01484,"non-transloc",110,0.0128165267557951,0.000134909090909091,6.74545454545454e-05
"85","ZB-YO",2017,0.01858,"non-transloc",128,0.00706088013984951,0.00014515625,0.000743671875
"86","ZB-YO",2011,0.01638,"non-transloc",110,0.0141465436832832,0.000148909090909091,0.000209363636363636
"87","ZB-CA",2017,0.01928,"non-transloc",128,0.00732689822907958,0.000150625,0.0008915625
"88","ZB-YO",2014,0.0156,"non-transloc",102,0.012943909724527,0.000152941176470588,7.64705882352941e-05
"89","OHA-ZK",2014,0.01564,"ANF",102,0.0129770992366412,0.000153333333333333,0.000229607843137255
"90","ZO-OA",2012,0.0154,"non-transloc",100,0.0164319248826291,0.000154,7.7e-05
"91","ZB-CA",2014,0.01588,"non-transloc",102,0.0131762363093263,0.000155686274509804,0.000384117647058824
"92","ZC-LG",2019,0.02294,"non-transloc",146,0.00683694453551098,0.000157123287671233,0.00051513698630137
"93","ZW-CO",2018,0.02278,"non-transloc",137,0.00696815083997112,0.000166277372262774,0.000566058394160584
"94","OHA-ZK",2018,0.02316,"ANF",137,0.00708438865029549,0.000169051094890511,0.000733722627737226
"95","ZP-GC",2018,0.02362,"non-transloc",137,0.00722509757858288,0.000172408759124088,0.000904452554744526
"96","ZP-GA",2017,0.02284,"non-transloc",128,0.00867979022573535,0.0001784375,0.00105609375
"97","WZ-YKA",2021,0.03136,"ANF",172,0.0080080898050071,0.000182325581395349,0.00060953488372093
"98","ZC-BB",2021,0.03166,"non-transloc",172,0.00808469780696827,0.00018406976744186,0.000792732558139535
"99","ZA-PG",2004,0.01542,"non-transloc",83,0.0381928964184871,0.00018578313253012,9.28915662650602e-05
"100","ZY-GW",2009,0.01532,"non-transloc",82,0.0219302012654241,0.000186829268292683,9.34146341463415e-05
"101","WZ-YKA",2022,0.03136,"ANF",167,0.00836989825876224,0.000187784431137725,0.00066059880239521
"102","ZA-PA",2004,0.01562,"non-transloc",83,0.0386882647248229,0.000188192771084337,0.000279879518072289
"103","ZC-LG",2020,0.03046,"non-transloc",159,0.00879091701443604,0.000191572327044025,0.00056748427672956
"104","ZW-CO",2021,0.03334,"non-transloc",172,0.00851370261795079,0.000193837209302326,0.000981686046511628
"105","ZY-GW",2008,0.01532,"non-transloc",79,0.034020252265056,0.000193924050632911,9.69620253164557e-05
"106","WZ-YKA",2020,0.03136,"ANF",159,0.00905066177192102,0.000197232704402516,0.00076188679245283
"107","ZC-BO",2021,0.03412,"non-transloc",172,0.00871288342304982,0.000198372093023256,0.00117779069767442
"108","ZA-PA",2006,0.01472,"non-transloc",74,0.136599851521901,0.000198918918918919,9.94594594594595e-05
"109","ZW-CO",2022,0.03338,"non-transloc",167,0.00890903073588914,0.000199880239520958,0.000854431137724551
"110","ZA-PA",2005,0.01472,"non-transloc",73,0.0958333333333333,0.000201643835616438,0.000100821917808219
"111","ZW-CO",2019,0.03,"non-transloc",146,0.00894107829404226,0.000205479452054795,0.000696438356164384
"112","ZG-AP",2007,0.01562,"non-transloc",76,0.080482275350371,0.000205526315789474,0.000102763157894737
"113","ZP-GC",2021,0.03544,"non-transloc",172,0.00904995863167895,0.000206046511627907,0.00138
"114","ZY-GW",2006,0.01532,"non-transloc",74,0.142167780252413,0.000207027027027027,0.000302432432432432
"115","ZY-WB",2007,0.01598,"non-transloc",76,0.0823371805441055,0.000210263157894737,0.000310657894736842
"116","ZP-GC",2022,0.03526,"non-transloc",167,0.00941079759578943,0.000211137724550898,0.00105994011976048
"117","ZW-CO",2020,0.03362,"non-transloc",159,0.00970290971849441,0.000211446540880503,0.00096622641509434
"118","ZO-OL",2007,0.01618,"non-transloc",76,0.0833676834295136,0.000212894736842105,0.000522236842105263
"119","ZO-OB",2011,0.02352,"non-transloc",110,0.0203129858016375,0.000213818181818182,0.000390727272727273
"120","OHA-ZK",2019,0.03136,"ANF",146,0.00934640717670551,0.000214794520547945,0.000906575342465754
"121","WZ-YKA",2019,0.03136,"ANF",146,0.00934640717670551,0.000214794520547945,0.0011213698630137
"122","ZP-GC",2019,0.03154,"non-transloc",146,0.00940005364646977,0.000216027397260274,0.00133678082191781
"123","ZA-PG",2006,0.016,"non-transloc",74,0.148478099480327,0.000216216216216216,0.000514054054054054
"124","ZG-YP",2011,0.02388,"non-transloc",110,0.0206238988496217,0.000217090909090909,0.000606181818181818
"125","ZA-PG",2005,0.016,"non-transloc",73,0.104166666666667,0.000219178082191781,0.000311232876712329
"126","ZP-GC",2020,0.03552,"non-transloc",159,0.0102512597620738,0.000223396226415094,0.00118364779874214
"127","ZP-GA",2018,0.03106,"non-transloc",137,0.00950091154914412,0.000226715328467153,0.00110401459854015
"128","ZB-CA",2012,0.02308,"non-transloc",100,0.0246265471617584,0.0002308,0.0002694
"129","OWO-AZ",2018,0.03238,"ANF",137,0.00990468499553402,0.000236350364963504,0.00133554744525547
"130","ZC-BB",2022,0.0395,"non-transloc",167,0.0105424420032241,0.000236526946107784,0.00128377245508982
"131","ZB-YO",2019,0.03548,"non-transloc",146,0.0105743152624207,0.000243013698630137,0.00156630136986301
"132","ZC-BO",2022,0.04072,"non-transloc",167,0.0108680566676275,0.000243832335329341,0.00152395209580838
"133","ZG-WC",2017,0.0315,"non-transloc",128,0.011970814015353,0.00024609375,0.001268359375
"134","ZB-YO",2012,0.02462,"non-transloc",100,0.0262697396500213,0.0002462,0.0005079
"135","ZB-CA",2019,0.0363,"non-transloc",146,0.0108187047357911,0.000248630136986301,0.00181212328767123
"136","ZL-SW",2011,0.02736,"non-transloc",110,0.0236293916468028,0.000248727272727273,0.000839090909090909
"137","OHA-ZK",2020,0.03958,"ANF",159,0.0114229972236171,0.000248930817610063,0.00141981132075472
"138","ZY-GW",2010,0.0255,"non-transloc",101,0.0282310741093373,0.000252475247524752,0.000353960396039604
"139","OWO-AZ",2017,0.03238,"ANF",128,0.0123052367560994,0.00025296875,0.001517890625
"140","OWO-AZ",2016,0.03238,"ANF",117,0.015395734078871,0.000276752136752137,0.000935128205128205
"141","OWO-AZ",2021,0.04764,"ANF",172,0.012165350711433,0.000276976744186047,0.00162151162790698
"142","ZG-YP",2016,0.03276,"non-transloc",117,0.0155764128605255,0.00028,0.00121350427350427
"143","OWO-AZ",2022,0.04764,"ANF",167,0.012714985747686,0.000285269461077844,0.00178850299401198
